Tick[ms],Height[g],Horizontal[g],Vertical[g],Magnitude[g],Temperature[C],Date,Time
000000714331,0.99805,0.00977,0.04492,0.99911,28.50000,2023-10-06,18:48:06
000000714357,1.00195,0.01172,0.04102,1.00286,28.50000,2023-10-06,18:48:06
000000714381,0.99805,0.00781,0.04688,0.99918,28.50000,2023-10-06,18:48:06
000000714406,1.00391,0.01172,0.04492,1.00498,28.50000,2023-10-06,18:48:07
000000714431,1.00391,0.00977,0.04102,1.00479,28.50000,2023-10-06,18:48:07
000000714456,1.00586,0.00781,0.03906,1.00665,28.50000,2023-10-06,18:48:07
000000714481,1.00195,0.01172,0.03711,1.00271,28.50000,2023-10-06,18:48:07
000000714510,1.00000,0.00977,0.03711,1.00074,28.50000,2023-10-06,18:48:07
000000714531,1.00000,0.00977,0.04102,1.00089,28.50000,2023-10-06,18:48:07
000000714557,1.00195,0.01367,0.04102,1.00289,28.50000,2023-10-06,18:48:07
000000714581,1.00195,0.01367,0.03906,1.00281,28.50000,2023-10-06,18:48:07
000000714606,1.00195,0.01172,0.04102,1.00286,28.50000,2023-10-06,18:48:07
000000714631,1.00195,0.01172,0.03906,1.00278,28.50000,2023-10-06,18:48:07
000000714656,1.00391,0.00977,0.04297,1.00487,28.50000,2023-10-06,18:48:07
000000714681,1.00195,0.00781,0.03906,1.00274,28.50000,2023-10-06,18:48:07
000000714706,1.00195,0.01172,0.03906,1.00278,28.50000,2023-10-06,18:48:07
000000714731,1.00586,0.00977,0.04297,1.00682,28.50000,2023-10-06,18:48:07
000000714757,1.00000,0.01367,0.03711,1.00078,28.50000,2023-10-06,18:48:07
000000714781,1.00000,0.01172,0.03516,1.00069,28.50000,2023-10-06,18:48:07
000000714806,0.99805,0.00781,0.03906,0.99884,28.50000,2023-10-06,18:48:07
000000714831,1.00391,0.00977,0.04102,1.00479,28.50000,2023-10-06,18:48:07
000000714856,1.00195,0.01172,0.03906,1.00278,28.50000,2023-10-06,18:48:07
000000714881,1.00000,0.01172,0.03711,1.00076,28.50000,2023-10-06,18:48:07
000000714906,0.99805,0.01367,0.03711,0.99883,28.50000,2023-10-06,18:48:07
000000714931,1.00195,0.00977,0.03906,1.00276,28.50000,2023-10-06,18:48:07
000000714958,1.00977,0.00977,-0.04102,1.01065,28.50000,2023-10-06,18:48:07
000000714981,0.99609,0.01367,0.01562,0.99631,28.50000,2023-10-06,18:48:07
000000715006,0.99609,0.01172,0.06055,0.99800,28.50000,2023-10-06,18:48:07
000000715031,1.00195,0.01367,0.06641,1.00424,28.50000,2023-10-06,18:48:07
